,0
1803,5.52
1804,11.07
1805,19.34
1806,28.87
1807,56.58
1808,29.25
1809,18.31
1810,51.04
1811,113.77
1812,90.0
1813,50.62
1814,78.78
1815,42.39
1816,7.87
1817,18.65
1818,9.07
1819,15.14
1820,16.56
1821,16.32
1822,23.42
1823,20.64
1824,19.74
1825,17.83
1826,19.98
1827,9.02
1828,9.89
1829,23.46
1830,15.26
1831,8.94
1832,45.14
1833,24.83
1834,37.49
1835,72.55
1836,65.65
1837,23.79
1838,8.36
1839,6.56
1840,13.66
1841,15.54
1842,17.03
1843,12.5
1844,50.27
1845,113.55
1846,156.21
1847,110.95
1848,35.14
1849,25.21
1850,44.52
1851,57.07
1852,36.59
1853,62.6
1854,24.46
1855,45.63
1856,94.19
1857,57.96
1858,13.24
1859,48.8
1860,25.39
1861,44.26
1862,49.96
1863,82.82
1864,80.95
1865,75.37
1866,15.63
1867,10.31
1868,11.04
1869,18.45
1870,30.4
1871,43.7
1872,68.76
1873,70.31
1874,81.6
1875,68.4
1876,30.77
1877,27.74
1878,8.96
1879,25.9
1880,49.69
1881,45.26
1882,29.82
1883,50.8
1884,39.42
1885,49.38
1886,38.07
1887,23.5
1888,11.24
1889,7.87
1890,15.66
1891,14.97
1892,7.38
1893,10.05
1894,6.19
1895,9.84
1896,21.18
1897,15.1
1898,13.32
1899,7.27
1900,8.07
1901,9.13
1902,14.79
1903,30.4
1904,61.31
1905,58.2
1906,58.98
1907,44.92
1908,44.92
1909,23.86
1910,18.23
1911,26.72
1912,43.73
1913,59.44
1914,59.56
1915,42.71
1916,13.11
1917,20.86
1918,
1919,36.72
1920,34.52
1921,39.47
1922,29.93
1923,48.52
1924,44.97
1925,27.4
1926,25.65
1927,22.66
1928,38.01
1929,33.53
1930,31.42
1931,33.52
1932,30.53
1933,39.2
1934,34.95
1935,26.08
1936,20.27
1937,18.05
1938,17.94
1939,16.81
1940,25.61
1941,28.82
1942,19.74
1943,18.96
1944,13.24
1945,17.38
1946,20.86
1947,20.73
